State	Fips	85	90	95	00	05	25
08	099	455.83	344.30	695.25	429.06	488.01	571.962
08	101	281.04	221.66	246.09	246.32	301.30	298.39
08	103	223.89	212.29	134.56	216.58	241.34	229.246
08	105	304.25	342.12	405.39	285.33	729.85	890.034
08	107	176.13	299.81	307.01	271.22	203.86	267.728
08	109	454.11	456.78	425.71	647.03	509.15	678.754
08	111	4.51	3.21	0.29	0.17	0.27	-5.222
08	113	49.31	31.64	63.04	9.88	28.37	-1.736
08	115	118.34	94.42	94.63	112.06	99.71	92.06
08	117	32.25	34.33	29.16	4.5	66.00	55.85
08	119	6.55	8.81	9.23	6.84	6.42	6.232
08	121	53.69	52.78	47.66	64.24	120.65	155.032
08	123	1343.80	1362.06	1162.37	1064.17	773.04	277.442
08	125	285.76	329.84	272.73	321.13	397.34	450.03
09	001	748.81	770.56	330.00	578.32	651.96	384.366
09	003	87.41	104.08	93.71	0	145.41	93.274
09	005	88.93	83.73	93.03	0	99.40	35.344
09	007	733.60	566.54	626.24	0	224.36	-520.864
09	009	637.41	663.44	763.96	455.46	342.67	94.112
09	011	1450.24	2617.49	2514.56	2407.14	2259.10	3094.128
09	013	16.22	19.10	17.00	0	17.64	4.236
09	015	18.50	18.61	14.96	0	17.86	2.052
10	001	26.00	24.76	33.91	29.62	37.59	47.2
10	003	940.76	926.78	1079.94	819.74	498.39	258.054
10	005	687.15	415.53	381.64	473.27	481.26	275.346
11	001	347.92	9.02	10.19	9.87	9.70	-328.014
12	001	51.46	52.48	48.31	58.1	60.05	67.76
12	003	8.26	10.07	5.37	7.5	7.19	4.852
12	005	306.52	285.86	318.51	322.87	291.93	309.836
12	007	9.25	9.02	7.51	4.65	6.71	1.758
12	009	1313.37	1195.89	1332.84	1261.31	957.28	824.082
12	011	929.42	1292.09	1515.60	1813.66	1837.86	2880.796
12	013	1.68	2.38	4.19	6.13	3.43	7.912
12	015	54.16	50.66	49.88	63.93	40.05	42.766
12	017	2302.90	1481.36	1685.32	425.19	1707.14	171.768
12	019	26.57	25.64	21.52	33.59	22.55	25.92
12	021	123.69	213.79	208.20	229.91	193.23	286.884
12	023	9.86	11.38	16.74	13.75	12.26	17.1
12	025	491.54	576.15	651.75	49.7	81.04	-438.434
12	027	83.78	121.97	70.94	133.38	66.74	81.76
12	029	4.21	5.87	3.41	3.29	3.75	2.006
12	031	640.09	512.47	720.18	814.49	771.63	1030.832
12	033	343.06	292.17	269.55	313.77	329.01	305.612
12	035	9.87	14.67	14.15	27.88	19.26	36.36
12	037	2.98	2.67	2.89	2.25	2.59	1.956
12	039	16.12	18.51	16.38	15.61	16.96	15.984
12	041	5.41	11.06	9.36	15.89	14.78	25.442
12	043	82.08	81.71	99.59	74.63	104.40	111.018
12	045	37.88	56.43	36.85	4.43	2.66	-45.814
12	047	43.38	50.60	46.18	41.7	54.84	55.752
12	049	94.18	66.55	51.00	91.15	32.46	7.764
12	051	192.00	492.96	557.01	511.9	395.94	686.054
12	053	40.86	45.83	41.62	50.45	48.59	57.518
12	055	123.67	141.47	119.47	174.26	118.30	148.664
12	057	2645.07	2304.94	2628.16	3479	2014.00	2561.386
12	059	5.47	6.76	7.24	4.09	3.77	1.824
12	061	170.61	328.35	266.46	287.46	285.66	381.234
12	063	129.33	141.50	81.05	111.6	119.51	86.874
12	065	9.56	12.10	11.61	8.36	13.23	13.132
12	067	7.57	9.64	7.45	6.74	7.85	6.446
12	069	73.18	97.03	83.11	99.51	85.69	104.204
12	071	328.56	572.93	499.26	652.38	709.10	1056.764
12	073	36.61	39.49	39.30	45.54	43.04	52.142
12	075	18.59	24.56	23.42	31.02	28.74	41.322
12	077	1.09	3.72	1.63	1.57	1.03	0.446
12	079	6.00	7.46	9.33	9.13	14.28	20.178
12	081	127.49	141.84	122.73	186.9	141.40	187.8
12	083	53.03	51.07	52.07	68.81	54.44	68.22
12	085	189.22	209.60	170.03	198.5	138.70	113.926
12	086	70.57	71.63	0	598.49	602.29	1222.776
12	087	1.60	45.64	2.10	1.96	1.68	-15.516
12	089	48.65	44.77	46.90	48.17	54.85	58.148
12	091	27.67	31.59	29.94	28.47	26.41	25.432
12	093	29.71	44.26	41.22	71.47	54.51	94.32
12	095	245.74	282.34	259.56	275.49	257.99	274.814
12	097	59.27	76.84	81.48	142.71	146.81	245.992
12	099	1033.46	1419.08	1432.60	1711.61	1532.52	2200.244
12	101	1258.29	1465.90	1169.25	2097.53	2168.22	3102.732
12	103	519.82	563.97	529.91	465.82	483.83	410.592
12	105	398.80	437.50	391.85	362.61	219.26	101.622
12	107	90.34	80.24	88.43	89.18	73.86	69.998
12	109	51.29	52.65	46.37	55.7	34.92	30.372
12	111	1486.18	1510.94	1485.34	1757.69	1352.29	1505.87
12	113	16.83	23.83	23.25	30.72	28.98	43.436
12	115	40.83	62.67	47.86	46.4	41.01	38.208
12	117	68.72	67.37	69.78	90.21	68.83	86.818
12	119	78.62	73.60	66.14	44.39	24.65	-24.81
12	121	87.90	141.76	142.48	127.71	103.08	130.372
12	123	50.16	50.66	53.08	49.81	49.24	48.976
12	125	2.11	5.05	2.70	2.54	3.29	3.048
12	127	212.08	277.64	156.60	234.69	171.22	135.644
12	129	30.34	54.49	72.52	33.17	10.86	4.108
12	131	6.57	9.05	11.77	12.22	11.66	18.264
12	133	3.21	3.36	4.59	4.1	3.61	4.698
13	001	58.56	60.58	62.89	63.7	63.02	68.974
13	003	2.43	2.11	3.02	6.55	7.87	13.588
13	005	3.20	3.46	2.99	5.85	6.42	9.682
13	007	21.94	14.00	24.07	41.85	34.39	58.9
13	009	8.11	12.38	7.16	8.77	7.63	6.068
13	011	1.40	1.82	2.28	2.1	3.54	4.964
13	013	4.24	5.26	5.68	7.54	8.61	12.878
13	015	73.69	75.95	57.97	66.03	107.78	111.24
13	017	6.44	5.77	17.30	11.23	10.68	18.648
13	019	8.54	13.55	12.90	15.26	6.86	10.432
13	021	228.30	76.45	106.97	154.71	18.68	-87.566
13	023	7.47	6.46	9.10	16.13	13.55	23.64
13	025	2.11	2.33	2.48	1.75	2.83	2.816
13	027	4.99	26.16	6.34	6.38	4.46	-2.838
13	029	1.54	1.48	1.98	2.84	3.10	4.876
13	031	8.92	10.08	17.24	15.48	16.89	26.526
13	033	11.94	70.78	75.48	98.07	83.82	170.648
13	035	2.09	2.37	5.60	3.82	3.50	6.038
13	037	14.55	9.24	18.82	34.53	27.03	50.984
13	039	43.88	44.46	47.94	49.23	6.66	-3.368
13	043	4.54	4.50	3.16	6.37	11.13	14.97
13	045	10.29	12.49	13.69	12.1	14.42	17.32
13	047	4.17	4.97	10.68	10.67	6.69	13.88
13	049	1.42	1.67	1.76	1.48	1.24	1.184
13	051	498.67	516.12	605.65	213.7	241.28	-75.236
13	053	6.85	13.63	13.80	9.66	1.21	-0.12
13	055	14.28	11.86	4.86	11.54	12.28	8.372
13	057	7.50	8.32	13.89	20.39	29.34	49.338
13	059	15.58	16.96	18.10	19.41	7.57	7.382
13	061	2.50	1.66	5.56	5.85	0.66	3.552
13	063	17.24	21.54	25.61	26.53	15.62	22.358
13	065	1.12	0.77	1.29	1.86	1.88	2.95
13	067	449.93	399.57	440.10	466.78	414.66	432.21
13	069	11.47	8.36	13.17	21.26	16.13	27.41
13	071	18.00	16.99	39.79	45.91	36.75	71.34
13	073	7.46	9.72	11.88	17.27	15.58	26.656
13	075	6.41	6.62	11.92	12.04	11.13	18.54
13	077	436.21	445.72	352.54	560.37	42.41	-36.32
13	079	3.08	3.33	5.88	6.06	4.87	8.43
13	081	8.35	14.55	19.02	17.41	18.80	29.882
13	083	1.34	1.47	1.74	2.64	2.90	4.592
13	085	0.72	1.06	1.48	2.3	2.71	4.786
13	087	40.45	36.86	64.79	62.66	41.95	66.622
13	089	70.80	81.36	85.79	91.67	88.84	111.526
13	091	5.91	4.66	7.47	15.89	19.93	34.334
13	093	13.72	5.01	12.75	26.43	26.29	44.776
13	095	216.55	128.31	134.05	222.15	158.77	158.934
13	097	6.27	6.53	7.56	12.14	27.44	40.758
13	099	121.49	116.70	142.00	157.08	123.90	159.354
13	101	0.89	0.70	2.85	6.59	6.28	13.464
13	103	103.95	121.46	145.50	149.3	150.83	207.168
13	105	2.80	3.35	2.80	3.21	3.40	3.748
13	107	8.64	5.47	5.62	5.86	6.66	4.308
13	109	2.16	2.77	3.28	4.37	4.24	6.82
13	111	1.39	1.43	1.94	2.12	2.77	4.0
13	113	1.62	8.14	13.91	17.19	14.79	32.364
13	115	472.08	461.58	452.26	585.89	588.88	726.884
13	117	5.46	7.61	13.74	18.97	28.52	49.348
13	119	2.59	3.36	3.81	3.8	4.16	5.692
13	121	137.39	143.57	225.96	170.75	151.95	199.704
13	123	3.48	2.84	3.25	6.95	10.94	16.91
13	125	0.33	0.31	0.39	0.36	0.33	0.374
13	127	149.12	144.56	124.19	146.05	112.06	91.618
13	129	12.02	13.59	18.09	16.47	15.11	20.492
13	131	5.83	10.38	12.08	19.63	10.36	22.642
13	133	1.91	1.86	5.11	13.27	3.91	14.458
13	135	40.08	62.06	71.81	93.54	9.18	37.142
13	137	5.81	6.26	10.12	7.58	13.19	18.24
13	139	16.87	17.04	19.80	25.2	108.60	152.474
13	141	1.19	1.07	1.09	1.15	1.48	1.592
13	143	1.62	3.07	2.14	3.73	3.36	5.268
13	145	14.02	11.20	10.31	6.5	12.59	6.388
13	147	2.89	4.37	4.19	4.38	3.78	4.996
13	149	24.02	4.98	1.10	73.53	65.89	125.278
13	151	5.28	8.20	7.13	13.51	34.95	52.604
13	153	24.97	23.81	29.14	27.93	29.37	34.796
13	155	2.77	3.89	9.81	12.73	17.57	32.418
13	157	4.79	6.27	6.37	7.08	21.18	29.292
13	159	2.04	1.92	1.74	2.92	2.65	3.586
13	161	8.02	6.81	5.04	6.51	5.58	3.284
13	163	19.56	18.59	15.46	27.03	20.52	26.448
13	165	3.77	4.12	5.49	6.85	4.89	8.006
13	167	2.93	1.95	3.11	3.01	3.04	3.576
13	169	1.91	1.97	2.40	2.68	29.64	41.422
13	171	3.73	3.53	4.66	6.7	2.90	5.21
13	173	5.51	3.66	3.32	2.74	2.17	-1.08
13	175	19.27	26.03	32.88	32.32	30.12	44.918
13	177	15.49	17.59	26.20	34.76	7.56	21.106
13	179	16.34	20.59	17.47	14.98	14.00	10.502
13	181	1.62	0.98	1.16	1.19	0.91	0.446
13	183	0.54	0.53	0.80	0.97	2.98	4.356
13	185	24.85	26.17	28.09	32.95	30.34	39.136
13	187	3.53	3.85	3.11	3.87	3.24	3.184
13	189	3.07	3.39	3.74	5.46	5.85	8.88
13	191	1.46	1.10	1.42	1.18	1.09	0.854
13	193	17.16	21.49	23.61	31.56	31.47	48.272
13	195	2.25	5.02	3.09	3.02	3.56	3.76
13	197	3.40	2.36	3.22	3.52	3.12	3.484
13	199	4.45	4.61	5.67	5.99	2.40	2.992
13	201	23.74	13.70	28.79	34.01	22.09	34.672
13	205	15.79	32.31	32.47	77.69	39.40	95.092
13	207	18.93	17.35	34.79	125.77	62.80	169.624
